country,continent,year,lifeExp,pop,gdpPercap
Finland,Europe,1987,74.83,4931729,21141.01223
France,Europe,1987,76.34,55630100,22066.44214
Gabon,Africa,1987,60.19,880397,11864.40844
Gambia,Africa,1987,49.265,848406,611.6588611
Germany,Europe,1987,74.847,77718298,24639.18566
Ghana,Africa,1987,55.729,14168101,847.0061135
Greece,Europe,1987,76.67,9974490,16120.52839
Guatemala,Americas,1987,60.782,7326406,4246.485974
Guinea,Africa,1987,45.552,5650262,805.5724718
Guinea-Bissau,Africa,1987,41.245,927524,736.4153921
Haiti,Americas,1987,53.636,5756203,1823.015995
Honduras,Americas,1987,64.492,4372203,3023.096699
Hong Kong, China,Asia,1987,76.2,5584510,20038.47269
Hungary,Europe,1987,69.58,10612740,12986.47998
Iceland,Europe,1987,77.23,244676,26923.20628
India,Asia,1987,58.553,788000000,976.5126756
Indonesia,Asia,1987,60.137,169276000,1748.356961
Iran,Asia,1987,63.04,51889696,6642.881371
Iraq,Asia,1987,65.044,16543189,11643.57268
Ireland,Europe,1987,74.36,3539900,13872.86652
Israel,Asia,1987,75.6,4203148,17122.47986
Italy,Europe,1987,76.42,56729703,19207.23482
Jamaica,Americas,1987,71.77,2326606,6351.237495
Japan,Asia,1987,78.67,122091325,22375.94189
Jordan,Asia,1987,65.869,2820042,4448.679912
Kenya,Africa,1987,59.339,21198082,1361.936856
Korea, Dem. Rep.,Asia,1987,70.647,19067554,4106.492315
Korea, Rep.,Asia,1987,69.81,41622000,8533.088805
Kuwait,Asia,1987,74.174,1891487,28118.42998
Lebanon,Asia,1987,67.926,3089353,5377.091329
Lesotho,Africa,1987,57.18,1599200,773.9932141
Liberia,Africa,1987,46.027,2269414,506.1138573
Libya,Africa,1987,66.234,3799845,11770.5898
Madagascar,Africa,1987,49.35,10568642,1155.441948
Malawi,Africa,1987,47.457,7824747,635.5173634
Malaysia,Asia,1987,69.5,16331785,5249.802653
Mali,Africa,1987,46.364,7634008,684.1715576
Mauritania,Africa,1987,56.145,1841240,1421.603576
Mauritius,Africa,1987,68.74,1042663,4783.586903
Mexico,Americas,1987,69.498,80122492,8688.156003
Mongolia,Asia,1987,60.222,2015133,2338.008304
Montenegro,Europe,1987,74.865,569473,11732.51017
Morocco,Africa,1987,62.677,22987397,2755.046991
Mozambique,Africa,1987,42.861,12891952,389.8761846
Myanmar,Asia,1987,58.339,38028578,385
Namibia,Africa,1987,60.835,1278184,3693.731337
Nepal,Asia,1987,52.537,17917180,775.6324501
Netherlands,Europe,1987,76.83,14665278,23651.32361
New Zealand,Oceania,1987,74.32,3317166,19007.19129
Nicaragua,Americas,1987,62.008,3344353,2955.984375
Niger,Africa,1987,44.555,7332638,668.3000228
Nigeria,Africa,1987,46.886,81551520,1385.029563
Norway,Europe,1987,75.89,4186147,31540.9748
Oman,Asia,1987,67.734,1593882,18115.22313
Pakistan,Asia,1987,58.245,105186881,1704.686583
Panama,Americas,1987,71.523,2253639,7034.779161
Paraguay,Americas,1987,67.378,3886512,3998.875695
Peru,Americas,1987,64.134,20195924,6360.943444
Philippines,Asia,1987,64.151,60017788,2189.634995
Poland,Europe,1987,70.98,37740710,9082.351172
Portugal,Europe,1987,74.06,9915289,13039.30876
Puerto Rico,Americas,1987,74.63,3444468,12281.34191
Reunion,Africa,1987,71.913,562035,5303.377488
Romania,Europe,1987,69.53,22686371,9696.273295
Rwanda,Africa,1987,44.02,6349365,847.991217
Sao Tome and Principe,Africa,1987,61.728,110812,1516.525457
Saudi Arabia,Asia,1987,66.295,14619745,21198.26136
Senegal,Africa,1987,55.769,7171347,1441.72072
Serbia,Europe,1987,71.218,9230783,15870.87851
Sierra Leone,Africa,1987,40.006,3868905,1294.447788
Singapore,Asia,1987,73.56,2794552,18861.53081
Slovak Republic,Europe,1987,71.08,5199318,12037.26758
Slovenia,Europe,1987,72.25,1945870,18678.53492
Somalia,Africa,1987,44.501,6921858,1093.244963
South Africa,Africa,1987,60.834,35933379,7825.823398
Spain,Europe,1987,76.9,38880702,15764.98313
Sri Lanka,Asia,1987,69.011,16495304,1876.766827
Sudan,Africa,1987,51.744,24725960,1507.819159
Swaziland,Africa,1987,57.678,779348,3984.839812
Sweden,Europe,1987,77.19,8421403,23586.92927
Switzerland,Europe,1987,77.41,6649942,30281.70459
Syria,Asia,1987,66.974,11242847,3116.774285
Taiwan,Asia,1987,73.4,19757799,11054.56175
Tanzania,Africa,1987,51.535,23040630,831.8220794
Thailand,Asia,1987,66.084,52910342,2982.653773
Togo,Africa,1987,56.941,3154264,1202.201361
Trinidad and Tobago,Americas,1987,69.582,1191336,7388.597823
Tunisia,Africa,1987,66.894,7724976,3810.419296
Turkey,Europe,1987,63.108,52881328,5089.043686
Uganda,Africa,1987,51.509,15283050,617.7244065
United Kingdom,Europe,1987,75.007,56981620,21664.78767
United States,Americas,1987,75.02,242803533,29884.35041
Uruguay,Americas,1987,71.918,3045153,7452.398969
Venezuela,Americas,1987,70.19,17910182,9883.584648
Vietnam,Asia,1987,62.82,62826491,820.7994449
West Bank and Gaza,Asia,1987,67.046,1691210,5107.197384
Yemen, Rep.,Asia,1987,52.922,11219340,1971.741538
Zambia,Africa,1987,50.821,7272406,1213.315116
Zimbabwe,Africa,1987,62.351,9216418,706.1573059
