wine_index,type,quality,attribute,value
7,white,6,sulphates,0.5
7,white,6,alcohol,9.1
8,white,6,fixed_acidity,5.8
8,white,6,volatile_acidity,0.12
8,white,6,citric_acid,0.21
8,white,6,residual_sugar,1.3
8,white,6,chlorides,0.056
8,white,6,free_sulfur_dioxide,35
8,white,6,total_sulfur_dioxide,121
8,white,6,density,0.9908
8,white,6,pH,3.32
8,white,6,sulphates,0.33
8,white,6,alcohol,11.4
9,white,5,fixed_acidity,6.7
9,white,5,volatile_acidity,0.2
9,white,5,citric_acid,0.37
9,white,5,residual_sugar,1.65
9,white,5,chlorides,0.025
9,white,5,free_sulfur_dioxide,42
9,white,5,total_sulfur_dioxide,103
9,white,5,density,0.99022
9,white,5,pH,3.11
9,white,5,sulphates,0.45
9,white,5,alcohol,11.4
10,red,6,fixed_acidity,7.1
10,red,6,volatile_acidity,0.22
10,red,6,citric_acid,0.49
10,red,6,residual_sugar,1.8
10,red,6,chlorides,0.039
10,red,6,free_sulfur_dioxide,8
10,red,6,total_sulfur_dioxide,18
10,red,6,density,0.99344
10,red,6,pH,3.39
10,red,6,sulphates,0.56
10,red,6,alcohol,12.4
11,white,7,fixed_acidity,7.7
11,white,7,volatile_acidity,0.28
11,white,7,citric_acid,0.33
11,white,7,residual_sugar,6.7
11,white,7,chlorides,0.037
11,white,7,free_sulfur_dioxide,32
11,white,7,total_sulfur_dioxide,155
11,white,7,density,0.9951
11,white,7,pH,3.39
11,white,7,sulphates,0.62
11,white,7,alcohol,10.7
12,white,6,fixed_acidity,6.8
12,white,6,volatile_acidity,0.15
12,white,6,citric_acid,0.41
12,white,6,residual_sugar,12.9
12,white,6,chlorides,0.044
12,white,6,free_sulfur_dioxide,79.5
12,white,6,total_sulfur_dioxide,183
12,white,6,density,0.99742
12,white,6,pH,3.24
12,white,6,sulphates,0.78
12,white,6,alcohol,10.2
13,white,6,fixed_acidity,6.9
13,white,6,volatile_acidity,0.21
13,white,6,citric_acid,0.33
13,white,6,residual_sugar,1.4
13,white,6,chlorides,0.056
13,white,6,free_sulfur_dioxide,35
13,white,6,total_sulfur_dioxide,136
13,white,6,density,0.9938
13,white,6,pH,3.63
13,white,6,sulphates,0.78
13,white,6,alcohol,10.3
14,white,6,fixed_acidity,8.2
14,white,6,volatile_acidity,0.3
14,white,6,citric_acid,0.44
14,white,6,residual_sugar,12.4
14,white,6,chlorides,0.043
14,white,6,free_sulfur_dioxide,52
14,white,6,total_sulfur_dioxide,154
14,white,6,density,0.99452
14,white,6,pH,3.04
14,white,6,sulphates,0.33
14,white,6,alcohol,12
15,white,6,fixed_acidity,7.6
15,white,6,volatile_acidity,0.2
15,white,6,citric_acid,0.36
15,white,6,residual_sugar,1.9
15,white,6,chlorides,0.043
15,white,6,free_sulfur_dioxide,24
15,white,6,total_sulfur_dioxide,111
15,white,6,density,0.99237
15,white,6,pH,3.29
15,white,6,sulphates,0.54
15,white,6,alcohol,11.3
16,white,5,fixed_acidity,8.4
16,white,5,volatile_acidity,0.28
16,white,5,citric_acid,0.4
16,white,5,residual_sugar,8.9
16,white,5,chlorides,0.048
16,white,5,free_sulfur_dioxide,33
16,white,5,total_sulfur_dioxide,146
16,white,5,density,0.9988
16,white,5,pH,3.4
16,white,5,sulphates,0.46
16,white,5,alcohol,9.3
17,white,6,fixed_acidity,6.1
17,white,6,volatile_acidity,0.55
17,white,6,citric_acid,0.15
17,white,6,residual_sugar,9.8
17,white,6,chlorides,0.031
17,white,6,free_sulfur_dioxide,19
17,white,6,total_sulfur_dioxide,125
17,white,6,density,0.9957
17,white,6,pH,3.36
17,white,6,sulphates,0.47
17,white,6,alcohol,10.2
18,white,5,fixed_acidity,9.4
18,white,5,volatile_acidity,0.16
18,white,5,citric_acid,0.23
18,white,5,residual_sugar,1.6
18,white,5,chlorides,0.042
18,white,5,free_sulfur_dioxide,14
18,white,5,total_sulfur_dioxide,67
18,white,5,density,0.9942
18,white,5,pH,3.07
18,white,5,sulphates,0.32
18,white,5,alcohol,9.5
19,white,8,fixed_acidity,7.3
19,white,8,volatile_acidity,0.19
19,white,8,citric_acid,0.27
19,white,8,residual_sugar,13.9
19,white,8,chlorides,0.057
19,white,8,free_sulfur_dioxide,45
19,white,8,total_sulfur_dioxide,155
19,white,8,density,0.99807
19,white,8,pH,2.94
19,white,8,sulphates,0.41
19,white,8,alcohol,8.8
20,white,7,fixed_acidity,6.5
20,white,7,volatile_acidity,0.24
20,white,7,citric_acid,0.36
20,white,7,residual_sugar,2.2
20,white,7,chlorides,0.027
20,white,7,free_sulfur_dioxide,36
20,white,7,total_sulfur_dioxide,134
20,white,7,density,0.9898
20,white,7,pH,3.28
20,white,7,sulphates,0.36
20,white,7,alcohol,12.5
21,white,6,fixed_acidity,7.3
21,white,6,volatile_acidity,0.28
21,white,6,citric_acid,0.54
21,white,6,residual_sugar,12.9
21,white,6,chlorides,0.049
21,white,6,free_sulfur_dioxide,62
21,white,6,total_sulfur_dioxide,162.5
21,white,6,density,0.9984
21,white,6,pH,3.06
21,white,6,sulphates,0.45
21,white,6,alcohol,9.1
22,white,6,fixed_acidity,6.8
22,white,6,volatile_acidity,0.2
22,white,6,citric_acid,0.28
22,white,6,residual_sugar,12.6
22,white,6,chlorides,0.048
22,white,6,free_sulfur_dioxide,54
22,white,6,total_sulfur_dioxide,136
22,white,6,density,0.99556
22,white,6,pH,3.19
22,white,6,sulphates,0.37
22,white,6,alcohol,10.7
23,white,6,fixed_acidity,9
23,white,6,volatile_acidity,0.27
23,white,6,citric_acid,0.35
23,white,6,residual_sugar,4.9
23,white,6,chlorides,0.028
23,white,6,free_sulfur_dioxide,27
23,white,6,total_sulfur_dioxide,95
23,white,6,density,0.9932
23,white,6,pH,3.04
23,white,6,sulphates,0.4
23,white,6,alcohol,11.3
24,white,7,fixed_acidity,6.7
24,white,7,volatile_acidity,0.17
24,white,7,citric_acid,0.37
24,white,7,residual_sugar,2
24,white,7,chlorides,0.039
24,white,7,free_sulfur_dioxide,34
24,white,7,total_sulfur_dioxide,125
24,white,7,density,0.9922
24,white,7,pH,3.26
24,white,7,sulphates,0.6
24,white,7,alcohol,10.8
25,red,5,fixed_acidity,8.8
25,red,5,volatile_acidity,0.61
25,red,5,citric_acid,0.14
25,red,5,residual_sugar,2.4
25,red,5,chlorides,0.067
25,red,5,free_sulfur_dioxide,10
25,red,5,total_sulfur_dioxide,42
25,red,5,density,0.9969
25,red,5,pH,3.19
25,red,5,sulphates,0.59
25,red,5,alcohol,9.5
26,red,5,fixed_acidity,7.5
26,red,5,volatile_acidity,0.61
26,red,5,citric_acid,0.26
26,red,5,residual_sugar,1.9
26,red,5,chlorides,0.073
26,red,5,free_sulfur_dioxide,24
26,red,5,total_sulfur_dioxide,88
26,red,5,density,0.99612
26,red,5,pH,3.3
26,red,5,sulphates,0.53
26,red,5,alcohol,9.8
27,white,6,fixed_acidity,7.6
27,white,6,volatile_acidity,0.3
27,white,6,citric_acid,0.22
27,white,6,residual_sugar,10.2
27,white,6,chlorides,0.049
27,white,6,free_sulfur_dioxide,57
27,white,6,total_sulfur_dioxide,191
27,white,6,density,0.9966
27,white,6,pH,3.08
27,white,6,sulphates,0.4
27,white,6,alcohol,9.3
28,white,4,fixed_acidity,6.9
28,white,4,volatile_acidity,0.19
28,white,4,citric_acid,0.6
28,white,4,residual_sugar,4
28,white,4,chlorides,0.037
28,white,4,free_sulfur_dioxide,6
28,white,4,total_sulfur_dioxide,122
28,white,4,density,0.99255
28,white,4,pH,2.92
28,white,4,sulphates,0.59
28,white,4,alcohol,10.4
29,red,6,fixed_acidity,7.9
29,red,6,volatile_acidity,0.33
29,red,6,citric_acid,0.41
29,red,6,residual_sugar,1.5
29,red,6,chlorides,0.056
29,red,6,free_sulfur_dioxide,6
29,red,6,total_sulfur_dioxide,35
29,red,6,density,0.99396
29,red,6,pH,3.29
29,red,6,sulphates,0.71
29,red,6,alcohol,11
30,white,6,fixed_acidity,7
30,white,6,volatile_acidity,0.19
30,white,6,citric_acid,0.33
30,white,6,residual_sugar,6.3
30,white,6,chlorides,0.032
30,white,6,free_sulfur_dioxide,42
30,white,6,total_sulfur_dioxide,127
30,white,6,density,0.99182
30,white,6,pH,3.31
30,white,6,sulphates,0.38
30,white,6,alcohol,12.2
31,white,6,fixed_acidity,8.3
31,white,6,volatile_acidity,0.16
31,white,6,citric_acid,0.37
31,white,6,residual_sugar,7.9
31,white,6,chlorides,0.025
31,white,6,free_sulfur_dioxide,38
31,white,6,total_sulfur_dioxide,107
31,white,6,density,0.99306
31,white,6,pH,2.93
31,white,6,sulphates,0.37
31,white,6,alcohol,11.9
32,red,5,fixed_acidity,7.2
32,red,5,volatile_acidity,0.835
32,red,5,citric_acid,0
32,red,5,residual_sugar,2
32,red,5,chlorides,0.166
32,red,5,free_sulfur_dioxide,4
32,red,5,total_sulfur_dioxide,11
32,red,5,density,0.99608
32,red,5,pH,3.39
32,red,5,sulphates,0.52
32,red,5,alcohol,10
33,white,6,fixed_acidity,6.7
33,white,6,volatile_acidity,0.48
33,white,6,citric_acid,0.49
33,white,6,residual_sugar,2.9
33,white,6,chlorides,0.03
33,white,6,free_sulfur_dioxide,28
33,white,6,total_sulfur_dioxide,122
33,white,6,density,0.98926
33,white,6,pH,3.13
33,white,6,sulphates,0.4
33,white,6,alcohol,13
34,red,6,fixed_acidity,7.2
34,red,6,volatile_acidity,0.52
34,red,6,citric_acid,0.07
34,red,6,residual_sugar,1.4
34,red,6,chlorides,0.074
34,red,6,free_sulfur_dioxide,5
34,red,6,total_sulfur_dioxide,20
34,red,6,density,0.9973
34,red,6,pH,3.32
34,red,6,sulphates,0.81
34,red,6,alcohol,9.6
35,white,7,fixed_acidity,7.1
35,white,7,volatile_acidity,0.36
35,white,7,citric_acid,0.37
35,white,7,residual_sugar,4.8
35,white,7,chlorides,0.019
35,white,7,free_sulfur_dioxide,39
35,white,7,total_sulfur_dioxide,114
35,white,7,density,0.99036
35,white,7,pH,3.08
35,white,7,sulphates,0.49
35,white,7,alcohol,12.7
36,white,6,fixed_acidity,6.7
36,white,6,volatile_acidity,0.48
36,white,6,citric_acid,0.49
36,white,6,residual_sugar,2.9
36,white,6,chlorides,0.03
36,white,6,free_sulfur_dioxide,28
36,white,6,total_sulfur_dioxide,122
36,white,6,density,0.98926
36,white,6,pH,3.13
36,white,6,sulphates,0.4
36,white,6,alcohol,13
37,white,7,fixed_acidity,6
37,white,7,volatile_acidity,0.27
37,white,7,citric_acid,0.19
37,white,7,residual_sugar,1.7
37,white,7,chlorides,0.02
37,white,7,free_sulfur_dioxide,24
37,white,7,total_sulfur_dioxide,110
37,white,7,density,0.9898
37,white,7,pH,3.32
37,white,7,sulphates,0.47
37,white,7,alcohol,12.6
38,white,4,fixed_acidity,6.8
38,white,4,volatile_acidity,0.29
38,white,4,citric_acid,0.16
38,white,4,residual_sugar,1.4
38,white,4,chlorides,0.038
38,white,4,free_sulfur_dioxide,122.5
38,white,4,total_sulfur_dioxide,234.5
38,white,4,density,0.9922
38,white,4,pH,3.15
38,white,4,sulphates,0.47
38,white,4,alcohol,10
39,white,7,fixed_acidity,7.9
39,white,7,volatile_acidity,0.22
39,white,7,citric_acid,0.38
39,white,7,residual_sugar,8
39,white,7,chlorides,0.043
39,white,7,free_sulfur_dioxide,46
39,white,7,total_sulfur_dioxide,152
39,white,7,density,0.9934
39,white,7,pH,3.12
39,white,7,sulphates,0.32
39,white,7,alcohol,11.5
40,white,7,fixed_acidity,6.7
40,white,7,volatile_acidity,0.15
40,white,7,citric_acid,0.29
40,white,7,residual_sugar,5
40,white,7,chlorides,0.058
40,white,7,free_sulfur_dioxide,28
40,white,7,total_sulfur_dioxide,105
40,white,7,density,0.9946
40,white,7,pH,3.52
40,white,7,sulphates,0.44
40,white,7,alcohol,10.2
41,red,7,fixed_acidity,10.4
41,red,7,volatile_acidity,0.33
41,red,7,citric_acid,0.63
41,red,7,residual_sugar,2.8
41,red,7,chlorides,0.084
41,red,7,free_sulfur_dioxide,5
41,red,7,total_sulfur_dioxide,22
41,red,7,density,0.9998
41,red,7,pH,3.26
41,red,7,sulphates,0.74
41,red,7,alcohol,11.2
42,red,7,fixed_acidity,11.1
42,red,7,volatile_acidity,0.31
42,red,7,citric_acid,0.49
42,red,7,residual_sugar,2.7
42,red,7,chlorides,0.094
42,red,7,free_sulfur_dioxide,16
42,red,7,total_sulfur_dioxide,47
42,red,7,density,0.9986
42,red,7,pH,3.12
42,red,7,sulphates,1.02
42,red,7,alcohol,10.6
43,white,5,fixed_acidity,7.1
43,white,5,volatile_acidity,0.2
43,white,5,citric_acid,0.37
43,white,5,residual_sugar,1.5
43,white,5,chlorides,0.049
43,white,5,free_sulfur_dioxide,28
43,white,5,total_sulfur_dioxide,129
43,white,5,density,0.99226
43,white,5,pH,3.15
43,white,5,sulphates,0.52
43,white,5,alcohol,10.8
44,white,6,fixed_acidity,6.7
44,white,6,volatile_acidity,0.11
44,white,6,citric_acid,0.26
44,white,6,residual_sugar,14.8
44,white,6,chlorides,0.053
44,white,6,free_sulfur_dioxide,44
44,white,6,total_sulfur_dioxide,95
44,white,6,density,0.99676
44,white,6,pH,3.2
44,white,6,sulphates,0.35
44,white,6,alcohol,9.8
45,white,6,fixed_acidity,6
45,white,6,volatile_acidity,0.33
45,white,6,citric_acid,0.38
45,white,6,residual_sugar,9.7
45,white,6,chlorides,0.04
45,white,6,free_sulfur_dioxide,29
45,white,6,total_sulfur_dioxide,124
45,white,6,density,0.9954
45,white,6,pH,3.47
45,white,6,sulphates,0.48
45,white,6,alcohol,11
46,white,6,fixed_acidity,8.3
46,white,6,volatile_acidity,0.14
46,white,6,citric_acid,0.34
46,white,6,residual_sugar,1.1
46,white,6,chlorides,0.042
46,white,6,free_sulfur_dioxide,7
46,white,6,total_sulfur_dioxide,47
46,white,6,density,0.9934
46,white,6,pH,3.47
46,white,6,sulphates,0.4
46,white,6,alcohol,10.2
47,white,6,fixed_acidity,6.2
47,white,6,volatile_acidity,0.16
47,white,6,citric_acid,0.32
47,white,6,residual_sugar,1.1
47,white,6,chlorides,0.036
47,white,6,free_sulfur_dioxide,74
47,white,6,total_sulfur_dioxide,184
47,white,6,density,0.99096
47,white,6,pH,3.22
47,white,6,sulphates,0.41
47,white,6,alcohol,11
48,red,5,fixed_acidity,8
48,red,5,volatile_acidity,0.39
48,red,5,citric_acid,0.3
48,red,5,residual_sugar,1.9
48,red,5,chlorides,0.074
48,red,5,free_sulfur_dioxide,32
48,red,5,total_sulfur_dioxide,84
48,red,5,density,0.99717
48,red,5,pH,3.39
48,red,5,sulphates,0.61
48,red,5,alcohol,9
49,white,6,fixed_acidity,7.9
49,white,6,volatile_acidity,0.16
49,white,6,citric_acid,0.3
49,white,6,residual_sugar,7.4
49,white,6,chlorides,0.05
49,white,6,free_sulfur_dioxide,58
49,white,6,total_sulfur_dioxide,152
49,white,6,density,0.99612
49,white,6,pH,3.12
49,white,6,sulphates,0.37
49,white,6,alcohol,9.5
50,white,6,fixed_acidity,6.5
50,white,6,volatile_acidity,0.22
50,white,6,citric_acid,0.45
50,white,6,residual_sugar,8
50,white,6,chlorides,0.053
50,white,6,free_sulfur_dioxide,52
50,white,6,total_sulfur_dioxide,196
50,white,6,density,0.9959
50,white,6,pH,3.23
50,white,6,sulphates,0.48
50,white,6,alcohol,9.1
51,white,6,fixed_acidity,5.9
51,white,6,volatile_acidity,0.31
51,white,6,citric_acid,0.3
51,white,6,residual_sugar,7.7
51,white,6,chlorides,0.047
51,white,6,free_sulfur_dioxide,60
51,white,6,total_sulfur_dioxide,206
51,white,6,density,0.995
51,white,6,pH,3.2
51,white,6,sulphates,0.39
51,white,6,alcohol,9.6
52,red,5,fixed_acidity,7.6
52,red,5,volatile_acidity,0.41
52,red,5,citric_acid,0.49
52,red,5,residual_sugar,2
52,red,5,chlorides,0.088
52,red,5,free_sulfur_dioxide,16
52,red,5,total_sulfur_dioxide,43
52,red,5,density,0.998
52,red,5,pH,3.48
52,red,5,sulphates,0.64
52,red,5,alcohol,9.1
53,white,6,fixed_acidity,6.9
53,white,6,volatile_acidity,0.24
53,white,6,citric_acid,0.23
53,white,6,residual_sugar,7.1
53,white,6,chlorides,0.041
53,white,6,free_sulfur_dioxide,20
53,white,6,total_sulfur_dioxide,97
53,white,6,density,0.99246
53,white,6,pH,3.1
53,white,6,sulphates,0.85
53,white,6,alcohol,11.4
54,white,6,fixed_acidity,6.4
54,white,6,volatile_acidity,0.12
54,white,6,citric_acid,0.3
54,white,6,residual_sugar,1.1
54,white,6,chlorides,0.031
54,white,6,free_sulfur_dioxide,37
54,white,6,total_sulfur_dioxide,94
54,white,6,density,0.98986
54,white,6,pH,3.01
54,white,6,sulphates,0.56
54,white,6,alcohol,11.7
55,white,5,fixed_acidity,5.5
55,white,5,volatile_acidity,0.24
55,white,5,citric_acid,0.32
55,white,5,residual_sugar,8.7
55,white,5,chlorides,0.06
55,white,5,free_sulfur_dioxide,19
55,white,5,total_sulfur_dioxide,102
55,white,5,density,0.994
55,white,5,pH,3.27
55,white,5,sulphates,0.31
55,white,5,alcohol,10.4
56,red,5,fixed_acidity,7.7
56,red,5,volatile_acidity,0.51
56,red,5,citric_acid,0.28
56,red,5,residual_sugar,2.1
56,red,5,chlorides,0.087
56,red,5,free_sulfur_dioxide,23
56,red,5,total_sulfur_dioxide,54
56,red,5,density,0.998
56,red,5,pH,3.42
56,red,5,sulphates,0.74
56,red,5,alcohol,9.2
57,white,6,fixed_acidity,7.1
57,white,6,volatile_acidity,0.2
57,white,6,citric_acid,0.3
57,white,6,residual_sugar,0.9
57,white,6,chlorides,0.019
57,white,6,free_sulfur_dioxide,4
57,white,6,total_sulfur_dioxide,28
57,white,6,density,0.98931
57,white,6,pH,3.2
57,white,6,sulphates,0.36
57,white,6,alcohol,12
58,white,7,fixed_acidity,6.1
58,white,7,volatile_acidity,0.34
58,white,7,citric_acid,0.27
58,white,7,residual_sugar,2.6
58,white,7,chlorides,0.024
58,white,7,free_sulfur_dioxide,20
58,white,7,total_sulfur_dioxide,105
58,white,7,density,0.9906
58,white,7,pH,3.4
58,white,7,sulphates,0.67
58,white,7,alcohol,12.2
59,white,7,fixed_acidity,7.2
59,white,7,volatile_acidity,0.24
59,white,7,citric_acid,0.29
59,white,7,residual_sugar,2.2
59,white,7,chlorides,0.037
59,white,7,free_sulfur_dioxide,37
59,white,7,total_sulfur_dioxide,102
59,white,7,density,0.992
59,white,7,pH,3.27
59,white,7,sulphates,0.64
59,white,7,alcohol,11
60,white,7,fixed_acidity,6.7
60,white,7,volatile_acidity,0.18
60,white,7,citric_acid,0.31
60,white,7,residual_sugar,10.6
60,white,7,chlorides,0.035
60,white,7,free_sulfur_dioxide,42
60,white,7,total_sulfur_dioxide,143
60,white,7,density,0.99572
60,white,7,pH,3.08
60,white,7,sulphates,0.49
60,white,7,alcohol,9.8
61,white,6,fixed_acidity,7.5
61,white,6,volatile_acidity,0.18
61,white,6,citric_acid,0.39
61,white,6,residual_sugar,1.9
61,white,6,chlorides,0.054
61,white,6,free_sulfur_dioxide,23
61,white,6,total_sulfur_dioxide,91
61,white,6,density,0.9941
61,white,6,pH,3.27
61,white,6,sulphates,0.45
61,white,6,alcohol,10.3
62,white,7,fixed_acidity,6
62,white,7,volatile_acidity,0.31
62,white,7,citric_acid,0.27
62,white,7,residual_sugar,2.3
62,white,7,chlorides,0.042
62,white,7,free_sulfur_dioxide,19
62,white,7,total_sulfur_dioxide,120
62,white,7,density,0.98952
62,white,7,pH,3.32
62,white,7,sulphates,0.41
62,white,7,alcohol,12.7
63,white,5,fixed_acidity,4.7
63,white,5,volatile_acidity,0.335
63,white,5,citric_acid,0.14
63,white,5,residual_sugar,1.3
63,white,5,chlorides,0.036
63,white,5,free_sulfur_dioxide,69
63,white,5,total_sulfur_dioxide,168
63,white,5,density,0.99212
63,white,5,pH,3.47
63,white,5,sulphates,0.46
63,white,5,alcohol,10.5
64,red,6,fixed_acidity,7
64,red,6,volatile_acidity,0.38
64,red,6,citric_acid,0.49
64,red,6,residual_sugar,2.5
64,red,6,chlorides,0.097
64,red,6,free_sulfur_dioxide,33
64,red,6,total_sulfur_dioxide,85
64,red,6,density,0.9962
64,red,6,pH,3.39
64,red,6,sulphates,0.77
64,red,6,alcohol,11.4
65,white,8,fixed_acidity,6.4
65,white,8,volatile_acidity,0.32
65,white,8,citric_acid,0.25
65,white,8,residual_sugar,5
65,white,8,chlorides,0.055
65,white,8,free_sulfur_dioxide,28
65,white,8,total_sulfur_dioxide,138
65,white,8,density,0.99171
65,white,8,pH,3.27
65,white,8,sulphates,0.5
65,white,8,alcohol,12.4
66,white,5,fixed_acidity,6.5
66,white,5,volatile_acidity,0.24
66,white,5,citric_acid,0.24
66,white,5,residual_sugar,1.6
66,white,5,chlorides,0.046
66,white,5,free_sulfur_dioxide,15
66,white,5,total_sulfur_dioxide,60
66,white,5,density,0.9928
66,white,5,pH,3.19
66,white,5,sulphates,0.39
66,white,5,alcohol,9.8
67,white,5,fixed_acidity,7.5
67,white,5,volatile_acidity,0.22
67,white,5,citric_acid,0.29
67,white,5,residual_sugar,4.8
67,white,5,chlorides,0.05
67,white,5,free_sulfur_dioxide,33
67,white,5,total_sulfur_dioxide,87
67,white,5,density,0.994
67,white,5,pH,3.14
67,white,5,sulphates,0.42
67,white,5,alcohol,9.9
68,white,6,fixed_acidity,5.7
68,white,6,volatile_acidity,0.25
68,white,6,citric_acid,0.22
68,white,6,residual_sugar,9.8
68,white,6,chlorides,0.049
68,white,6,free_sulfur_dioxide,50
68,white,6,total_sulfur_dioxide,125
68,white,6,density,0.99571
68,white,6,pH,3.2
68,white,6,sulphates,0.45
68,white,6,alcohol,10.1
69,white,5,fixed_acidity,6.6
69,white,5,volatile_acidity,0.25
69,white,5,citric_acid,0.35
69,white,5,residual_sugar,14
69,white,5,chlorides,0.069
69,white,5,free_sulfur_dioxide,42
69,white,5,total_sulfur_dioxide,163
69,white,5,density,0.999
69,white,5,pH,3.56
69,white,5,sulphates,0.47
69,white,5,alcohol,9.8
70,red,6,fixed_acidity,8.2
70,red,6,volatile_acidity,0.34
70,red,6,citric_acid,0.37
70,red,6,residual_sugar,1.9
70,red,6,chlorides,0.057
70,red,6,free_sulfur_dioxide,43
70,red,6,total_sulfur_dioxide,74
70,red,6,density,0.99408
70,red,6,pH,3.23
70,red,6,sulphates,0.81
70,red,6,alcohol,12
71,red,6,fixed_acidity,10.3
71,red,6,volatile_acidity,0.5
71,red,6,citric_acid,0.42
71,red,6,residual_sugar,2
71,red,6,chlorides,0.069
71,red,6,free_sulfur_dioxide,21
71,red,6,total_sulfur_dioxide,51
71,red,6,density,0.9982
71,red,6,pH,3.16
71,red,6,sulphates,0.72
71,red,6,alcohol,11.5
72,white,5,fixed_acidity,5.7
72,white,5,volatile_acidity,0.255
72,white,5,citric_acid,0.65
72,white,5,residual_sugar,1.2
72,white,5,chlorides,0.079
72,white,5,free_sulfur_dioxide,17
72,white,5,total_sulfur_dioxide,137
72,white,5,density,0.99307
72,white,5,pH,3.2
72,white,5,sulphates,0.42
72,white,5,alcohol,9.4
73,red,7,fixed_acidity,8.3
73,red,7,volatile_acidity,0.31
73,red,7,citric_acid,0.39
73,red,7,residual_sugar,2.4
73,red,7,chlorides,0.078
73,red,7,free_sulfur_dioxide,17
73,red,7,total_sulfur_dioxide,43
73,red,7,density,0.99444
73,red,7,pH,3.31
73,red,7,sulphates,0.77
73,red,7,alcohol,12.5
74,white,6,fixed_acidity,8.5
74,white,6,volatile_acidity,0.15
74,white,6,citric_acid,0.49
74,white,6,residual_sugar,1.5
74,white,6,chlorides,0.031
74,white,6,free_sulfur_dioxide,17
74,white,6,total_sulfur_dioxide,122
74,white,6,density,0.9932
74,white,6,pH,3.03
74,white,6,sulphates,0.4
74,white,6,alcohol,10.3
75,white,5,fixed_acidity,6.9
75,white,5,volatile_acidity,0.615
75,white,5,citric_acid,0.42
75,white,5,residual_sugar,12
75,white,5,chlorides,0.067
75,white,5,free_sulfur_dioxide,24
75,white,5,total_sulfur_dioxide,131
75,white,5,density,0.99727
75,white,5,pH,3.19
75,white,5,sulphates,0.34
75,white,5,alcohol,9.3
76,white,6,fixed_acidity,6.5
76,white,6,volatile_acidity,0.22
76,white,6,citric_acid,0.19
76,white,6,residual_sugar,1.1
76,white,6,chlorides,0.064
76,white,6,free_sulfur_dioxide,36
76,white,6,total_sulfur_dioxide,191
76,white,6,density,0.99297
76,white,6,pH,3.05
76,white,6,sulphates,0.5
76,white,6,alcohol,9.5
77,red,6,fixed_acidity,11.3
77,red,6,volatile_acidity,0.36
77,red,6,citric_acid,0.66
77,red,6,residual_sugar,2.4
77,red,6,chlorides,0.123
77,red,6,free_sulfur_dioxide,3
77,red,6,total_sulfur_dioxide,8
77,red,6,density,0.99642
77,red,6,pH,3.2
77,red,6,sulphates,0.53
77,red,6,alcohol,11.9
78,white,5,fixed_acidity,7.1
78,white,5,volatile_acidity,0.31
78,white,5,citric_acid,0.5
78,white,5,residual_sugar,14.5
78,white,5,chlorides,0.059
78,white,5,free_sulfur_dioxide,6
78,white,5,total_sulfur_dioxide,148
78,white,5,density,0.9983
78,white,5,pH,2.94
78,white,5,sulphates,0.44
